id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2412.01576v2,Topological Signal Processing and Learning: Recent Advances and Future Challenges,"['Elvin Isufi', 'Geert Leus', 'Baltasar Beferull-Lozano', 'Sergio Barbarossa', 'Paolo Di Lorenzo']","Developing methods to process irregularly structured data is crucial in applications like gene-regulatory, brain, power, and socioeconomic networks. Graphs have been the go-to algebraic tool for modeling the structure via nodes and edges capturing their interactions, leading to the establishment of the fields of graph signal processing (GSP) and graph machine learning (GML). Key graph-aware methods include Fourier transform, filtering, sampling, as well as topology identification and spatiotemporal processing. Although versatile, graphs can model only pairwise dependencies in the data. To this end, topological structures such as simplicial and cell complexes have emerged as algebraic representations for more intricate structure modeling in data-driven systems, fueling the rapid development of novel topological-based processing and learning methods. This paper first presents the core principles of topological signal processing through the Hodge theory, a framework instrumental in propelling the field forward thanks to principled connections with GSP-GML. It then outlines advances in topological signal representation, filtering, and sampling, as well as inferring topological structures from data, processing spatiotemporal topological signals, and connections with topological machine learning. The impact of topological signal processing and learning is finally highlighted in applications dealing with flow data over networks, geometric processing, statistical ranking, biology, and semantic communication.",['eess.SP'],2024-12-02T14:57:27+00:00,https://arxiv.org/pdf/2412.01576v2,arxiv://2412.01576v2,11,30
2411.01164v1,Why Does the Cortex Have Such a Vast Storage Capacity?,"['Hui Wei', 'Surun Yang', 'Yangwang Li']","The capacity of long-term memory seems to be extremely large, capable of storing information spanning almost a lifetime. Why does it have such a vast capacity? Why are some memories so enduring? What is the actual physical form of long-term memory? In the movie Inside Out, it is depicted as individual orbs containing information. Is that really the case? Simply explaining this by saying that the cortex has many neurons, numerous neural connections, and complex electrochemical activity between them is not sufficient to answer these fundamental questions. We need to uncover the theory hidden behind these phenomena.In essence, a neural network is equivalent to a very large directed graph, with a massive number of nodes and directed connections. This paper posits that the physical form of long-term memory is a connected subgraph within this complex directed graph. This subgraph is capable of linking together the disparate fragments of the same event, spread across different sensory cortices, to form associations. This provides a physical realization of the engram theory. The robustness of the connected subgraph and the resources it consumes can explain various memory behaviors.Based on anatomical, brain imaging and electrophysiological evidence, this paper constructs a probabilistic connectivity model and uses theorems from graph theory to prove the ease of constructing connected subgraphs. Finally, it explains why the potential capacity for memory is immense.",['q-bio.NC'],2024-11-02T07:19:43+00:00,https://arxiv.org/pdf/2411.01164v1,arxiv://2411.01164v1,12,30
2411.02525v1,Strongly Topology-preserving GNNs for Brain Graph Super-resolution,"['Pragya Singh', 'Islem Rekik']","Brain graph super-resolution (SR) is an under-explored yet highly relevant task in network neuroscience. It circumvents the need for costly and time-consuming medical imaging data collection, preparation, and processing. Current SR methods leverage graph neural networks (GNNs) thanks to their ability to natively handle graph-structured datasets. However, most GNNs perform node feature learning, which presents two significant limitations: (1) they require computationally expensive methods to learn complex node features capable of inferring connectivity strength or edge features, which do not scale to larger graphs; and (2) computations in the node space fail to adequately capture higher-order brain topologies such as cliques and hubs. However, numerous studies have shown that brain graph topology is crucial in identifying the onset and presence of various neurodegenerative disorders like Alzheimer and Parkinson. Motivated by these challenges and applications, we propose our STP-GSR framework. It is the first graph SR architecture to perform representation learning in higher-order topological space. Specifically, using the primal-dual graph formulation from graph theory, we develop an efficient mapping from the edge space of our low-resolution (LR) brain graphs to the node space of a high-resolution (HR) dual graph. This approach ensures that node-level computations on this dual graph correspond naturally to edge-level learning on our HR brain graphs, thereby enforcing strong topological consistency within our framework. Additionally, our framework is GNN layer agnostic and can easily learn from smaller, scalable GNNs, reducing computational requirements. We comprehensively benchmark our framework across seven key topological measures and observe that it significantly outperforms the previous state-of-the-art methods and baselines.","['cs.LG', 'cs.AI']",2024-11-01T03:29:04+00:00,https://arxiv.org/pdf/2411.02525v1,arxiv://2411.02525v1,13,30
2411.00036v2,Coupling quantum-like cognition with the neuronal networks within generalized probability theory,"['Andrei Khrennikov', 'Masanao Ozawa', 'Felix Benninger', 'Oded Shor']","The past few years have seen a surge in the application of quantum theory methodologies and quantum-like modeling in fields such as cognition, psychology, and decision-making. Despite the success of this approach in explaining various psychological phenomena such as order, conjunction, disjunction, and response replicability effects there remains a potential dissatisfaction due to its lack of clear connection to neurophysiological processes in the brain. Currently, it remains a phenomenological approach. In this paper, we develop a quantum-like representation of networks of communicating neurons. This representation is not based on standard quantum theory but on generalized probability theory (GPT), with a focus on the operational measurement framework. Specifically, we use a version of GPT that relies on ordered linear state spaces rather than the traditional complex Hilbert spaces. A network of communicating neurons is modeled as a weighted directed graph, which is encoded by its weight matrix. The state space of these weight matrices is embedded within the GPT framework, incorporating effect observables and state updates within the theory of measurement instruments a critical aspect of this model. This GPT based approach successfully reproduces key quantum-like effects, such as order, non-repeatability, and disjunction effects (commonly associated with decision interference). Moreover, this framework supports quantum-like modeling in medical diagnostics for neurological conditions such as depression and epilepsy. While this paper focuses primarily on cognition and neuronal networks, the proposed formalism and methodology can be directly applied to a wide range of biological and social networks.","['physics.soc-ph', 'cs.AI', 'quant-ph']",2024-10-29T13:09:35+00:00,https://arxiv.org/pdf/2411.00036v2,arxiv://2411.00036v2,14,30
2410.16874v2,Topological and Graph Theoretical Analysis of Dynamic Functional Connectivity for Autism Spectrum Disorder,"['Yuzhe Chen', 'Dayu Qin', 'Ercan Engin Kuruoglu']","Autism Spectrum Disorder (ASD) is a prevalent neurological disorder. However, the multi-faceted symptoms and large individual differences among ASD patients are hindering the diagnosis process, which largely relies on subject descriptions and lacks quantitative biomarkers. To remediate such problems, this paper explores the use of graph theory and topological data analysis (TDA) to study brain activity in ASD patients and normal controls. We employ the Mapper algorithm in TDA and the distance correlation graphical model (DCGM) in graph theory to create brain state networks, then innovatively adopt complex network metrics in Graph signal processing (GSP) and physical quantities to analyze brain activities over time. Our findings reveal statistical differences in network characteristics between ASD and control groups. Compared to normal subjects, brain state networks of ASD patients tend to have decreased modularity, higher von Neumann entropy, increased Betti-0 numbers, and decreased Betti-1 numbers. These findings attest to the biological traits of ASD, suggesting less organized and more variable brain dynamics. These findings offer potential biomarkers for ASD diagnosis and deepen our understanding of its neural correlations.","['q-bio.NC', 'q-bio.QM']",2024-10-22T10:20:36+00:00,https://arxiv.org/pdf/2410.16874v2,arxiv://2410.16874v2,15,30
2410.06990v2,Structure and Control of Biology-inspired Networks,"['Zexin Sun', 'John Baillieul']","There is increasing interest in developing the theoretical foundations of networked control systems that illuminate how brain networks function so as to enable sensory perception, control of movement, memory and all the operations that are needed for animals to survive. The present paper proposes a biologically inspired network model featuring dynamic connections regulated by Hebbian learning. Drawing on the machinery of graph theory and classical control we show that our novel nonlinear model exhibits such biologically plausible features as bounded evolution, stability, resilience, and a kind of structural stability -- meaning that perturbations of the model parameters leave the essential properties of the model in tact. The proposed network model involves generalized cactus graphs with multiple control input nodes, and it is shown that the properties of the network are resilient to various changes in network topology provided these changes preserve the generalized cactus structure. A particular example described in what follows is an idealized network model of the visual system of a macaque monkey. The model displays resilience to network disruptions such as might occur in a living organism due to disease or injury. A different model of the same type provides an example of a system that can perform data classification.",['eess.SY'],2024-10-09T15:33:11+00:00,https://arxiv.org/pdf/2410.06990v2,arxiv://2410.06990v2,16,30
2410.07199v1,Towards Explainable Graph Neural Networks for Neurological Evaluation on EEG Signals,"['Andrea Protani', 'Lorenzo Giusti', 'Chiara Iacovelli', 'Albert Sund Aillet', 'Diogo Reis Santos', 'Giuseppe Reale', 'Aurelia Zauli', 'Marco Moci', 'Marta Garbuglia', 'Pierpaolo Brutti', 'Pietro Caliandro', 'Luigi Serio']","After an acute stroke, accurately estimating stroke severity is crucial for healthcare professionals to effectively manage patient's treatment. Graph theory methods have shown that brain connectivity undergoes frequency-dependent reorganization post-stroke, adapting to new conditions. Traditional methods often rely on handcrafted features that may not capture the complexities of clinical phenomena. In this study, we propose a novel approach using Graph Neural Networks (GNNs) to predict stroke severity, as measured by the NIH Stroke Scale (NIHSS). We analyzed electroencephalography (EEG) recordings from 71 patients at the time of hospitalization. For each patient, we generated five graphs weighted by Lagged Linear Coherence (LLC) between signals from distinct Brodmann Areas, covering $δ$ (2-4 Hz), $θ$ (4-8 Hz), $α_1$ (8-10.5 Hz), $α_2$ (10.5-13 Hz), and $β_1$ (13-20 Hz) frequency bands. To emphasize key neurological connections and maintain sparsity, we applied a sparsification process based on structural and functional brain network properties. We then trained a graph attention model to predict the NIHSS. By examining its attention coefficients, our model reveals insights into brain reconfiguration, providing clinicians with a valuable tool for diagnosis, personalized treatment, and early intervention in neurorehabilitation.","['eess.SP', 'cs.LG', 'q-bio.NC']",2024-09-24T14:40:09+00:00,https://arxiv.org/pdf/2410.07199v1,arxiv://2410.07199v1,17,30
2409.11174v1,Identifying Influential nodes in Brain Networks via Self-Supervised Graph-Transformer,"['Yanqing Kang', 'Di Zhu', 'Haiyang Zhang', 'Enze Shi', 'Sigang Yu', 'Jinru Wu', 'Xuhui Wang', 'Xuan Liu', 'Geng Chen', 'Xi Jiang', 'Tuo Zhang', 'Shu Zhang']","Studying influential nodes (I-nodes) in brain networks is of great significance in the field of brain imaging. Most existing studies consider brain connectivity hubs as I-nodes. However, this approach relies heavily on prior knowledge from graph theory, which may overlook the intrinsic characteristics of the brain network, especially when its architecture is not fully understood. In contrast, self-supervised deep learning can learn meaningful representations directly from the data. This approach enables the exploration of I-nodes for brain networks, which is also lacking in current studies. This paper proposes a Self-Supervised Graph Reconstruction framework based on Graph-Transformer (SSGR-GT) to identify I-nodes, which has three main characteristics. First, as a self-supervised model, SSGR-GT extracts the importance of brain nodes to the reconstruction. Second, SSGR-GT uses Graph-Transformer, which is well-suited for extracting features from brain graphs, combining both local and global characteristics. Third, multimodal analysis of I-nodes uses graph-based fusion technology, combining functional and structural brain information. The I-nodes we obtained are distributed in critical areas such as the superior frontal lobe, lateral parietal lobe, and lateral occipital lobe, with a total of 56 identified across different experiments. These I-nodes are involved in more brain networks than other regions, have longer fiber connections, and occupy more central positions in structural connectivity. They also exhibit strong connectivity and high node efficiency in both functional and structural networks. Furthermore, there is a significant overlap between the I-nodes and both the structural and functional rich-club. These findings enhance our understanding of the I-nodes within the brain network, and provide new insights for future research in further understanding the brain working mechanisms.","['q-bio.NC', 'cs.AI']",2024-09-17T13:31:28+00:00,https://arxiv.org/pdf/2409.11174v1,arxiv://2409.11174v1,18,30
2409.09862v4,Towards a Quantitative Theory of Digraph-Based Complexes and its Applications in Brain Network Analysis,['Heitor Baldo'],"In this work, we developed new mathematical methods for analyzing network topology and applied these methods to the analysis of brain networks. More specifically, we rigorously developed quantitative methods based on complexes constructed from digraphs (digraph-based complexes), such as path complexes and directed clique complexes (alternatively, we refer to these complexes as ""higher-order structures,"" or ""higher-order topologies,"" or ""simplicial structures""), and, in the case of directed clique complexes, also methods based on the interrelations between the directed cliques, what we called ""directed higher-order connectivities."" This new quantitative theory for digraph-based complexes can be seen as a step towards the formalization of a ""quantitative simplicial theory."" Subsequently, we used these new methods, such as characterization measures and similarity measures for digraph-based complexes, to analyze the topology of digraphs derived from brain connectivity estimators, specifically the estimator known as information partial directed coherence (iPDC), which is a multivariate estimator that can be considered a representation of Granger causality in the frequency-domain, particularly estimated from electroencephalography (EEG) data from patients diagnosed with left temporal lobe epilepsy, in the delta, theta and alpha frequency bands, to try to find new biomarkers based on the higher-order structures and connectivities of these digraphs. In particular, we attempted to answer the following questions: How does the higher-order topology of the brain network change from the pre-ictal to the ictal phase, from the ictal to the post-ictal phase, at each frequency band and in each cerebral hemisphere? Does the analysis of higher-order structures provide new and better biomarkers for seizure dynamics and also for the laterality of the seizure focus than the usual graph theoretical analyses?",['q-bio.NC'],2024-09-15T20:51:31+00:00,https://arxiv.org/pdf/2409.09862v4,arxiv://2409.09862v4,19,30
2409.08350v1,An efficient heuristic for approximate maximum flow computations,"['Jingyun Qian', 'Georg Hahn']","Several concepts borrowed from graph theory are routinely used to better understand the inner workings of the (human) brain. To this end, a connectivity network of the brain is built first, which then allows one to assess quantities such as information flow and information routing via shortest path and maximum flow computations. Since brain networks typically contain several thousand nodes and edges, computational scaling is a key research area. In this contribution, we focus on approximate maximum flow computations in large brain networks. By combining graph partitioning with maximum flow computations, we propose a new approximation algorithm for the computation of the maximum flow with runtime O(|V||E|^2/k^2) compared to the usual runtime of O(|V||E|^2) for the Edmonds-Karp algorithm, where $V$ is the set of vertices, $E$ is the set of edges, and $k$ is the number of partitions. We assess both accuracy and runtime of the proposed algorithm on simulated graphs as well as on graphs downloaded from the Brain Networks Data Repository (https://networkrepository.com).","['cs.DS', 'stat.ME']",2024-09-12T18:28:05+00:00,https://arxiv.org/pdf/2409.08350v1,arxiv://2409.08350v1,20,30
2409.04072v3,"Multi-Scale Graph Theoretical Analysis of Resting-State fMRI for Classification of Alzheimer's Disease, Mild Cognitive Impairment, and Healthy Controls","['Ali Khazaee', 'Abdolreza Mohammadi', ""Ruairi O'Reilly""]","Alzheimer's disease (AD) is a neurodegenerative disorder marked by memory loss and cognitive decline, making early detection vital for timely intervention. However, early diagnosis is challenging due to the heterogeneous presentation of symptoms. Resting-state functional magnetic resonance imaging (rs-fMRI) captures spontaneous brain activity and functional connectivity, which are known to be disrupted in AD and mild cognitive impairment (MCI). Traditional methods, such as Pearson's correlation, have been used to calculate association matrices, but these approaches often overlook the dynamic and non-stationary nature of brain activity. In this study, we introduce a novel method that integrates discrete wavelet transform (DWT) and graph theory to model the dynamic behavior of brain networks. Our approach captures the time-frequency representation of brain activity, allowing for a more nuanced analysis of the underlying network dynamics. Machine learning was employed to automate the discrimination of different stages of AD based on learned patterns from brain network at different frequency bands. We applied our method to a dataset of rs-fMRI images from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database, demonstrating its potential as an early diagnostic tool for AD and for monitoring disease progression. Our statistical analysis identifies specific brain regions and connections that are affected in AD and MCI, at different frequency bands, offering deeper insights into the disease's impact on brain function.","['q-bio.NC', 'cs.LG']",2024-09-06T07:26:14+00:00,https://arxiv.org/pdf/2409.04072v3,arxiv://2409.04072v3,21,30
